year,grape_variety,grape_color,location,soil_type,elevation_m,vine_age_years,vintage_age_years,avg_temperature_C,min_spring_temp_C,growing_season_temp_C,temp_deviation_C,summer_heat_days,spring_frost_days,growing_degree_days,annual_rainfall_mm,winter_rainfall_mm,spring_rainfall_mm,summer_rainfall_mm,autumn_rainfall_mm,harvest_rainfall_mm,rainfall_deviation_mm,humidity_pct,sunshine_hours,soil_moisture_pct,heat_frost_ratio,prev_harvest_doy,prev_yield_kg_ha,gbai_score,ln_quality_index,est_price_eur,harvest_doy,harvest_date,yield_kg_ha,harvest_category,yield_category,climate_risk,vintage_quality
1991,Rebula,White,Dobrovo,Clay-Loam,88,24,34,17.5,5.0,17.5,-0.1,8,3,1372,1166,192,292,341,341,223,106,67.5,2166,41.5,2.67,269,6500.0,37.2,3.616,26.34,272,1991-09-29,4640,Late,Low,Low,Average
1991,Rebula,White,Kozana,Loam,114,19,34,17.5,5.0,17.5,-0.1,8,3,1372,1166,192,292,341,341,223,106,67.5,2181,41.5,2.67,269,6500.0,37.5,3.624,25.91,271,1991-09-28,4830,Late,Low,Low,Average
1991,Rebula,White,Medana,Marl-Loam,135,22,34,17.5,5.0,17.5,-0.1,8,3,1372,1166,192,292,341,341,223,106,67.5,2186,41.5,2.67,269,6500.0,37.7,3.63,26.12,271,1991-09-28,4500,Late,Low,Low,Average
1991,Rebula,White,Vipolže,Clay,97,26,34,17.5,5.0,17.5,-0.1,8,3,1372,1166,192,292,341,341,223,106,67.5,2156,41.5,2.67,269,6500.0,37.2,3.616,25.71,269,1991-09-26,5620,Late,Medium,Low,Average
1991,Rebula,White,Šmartno,Marl,155,28,34,17.5,5.0,17.5,-0.1,8,3,1372,1166,192,292,341,341,223,106,67.5,2191,41.5,2.67,269,6500.0,35.8,3.578,24.75,272,1991-09-29,5230,Late,Medium,Low,Average
1991,Rebula,White,Biljana,Sandy-Loam,121,39,34,17.5,5.0,17.5,-0.1,8,3,1372,1166,192,292,341,341,223,106,67.5,2176,41.5,2.67,269,6500.0,36.8,3.605,22.67,272,1991-09-29,4360,Late,Low,Low,Average
1991,Rebula,White,Neblo,Clay-Loam,109,16,34,17.5,5.0,17.5,-0.1,8,3,1372,1166,192,292,341,341,223,106,67.5,2171,41.5,2.67,269,6500.0,36.8,3.605,23.32,267,1991-09-24,6040,Normal,High,Low,Average
1991,Rebula,White,Cerovo,Marl-Loam,143,30,34,17.5,5.0,17.5,-0.1,8,3,1372,1166,192,292,341,341,223,106,67.5,2184,41.5,2.67,269,6500.0,35.0,3.555,26.64,276,1991-10-03,5360,Late,Medium,Low,Average
1991,Chardonnay,White,Dobrovo,Clay-Loam,88,26,34,17.5,5.0,17.5,-0.1,8,3,1372,1166,192,292,341,341,223,106,67.5,2166,41.5,2.67,259,7200.0,38.5,3.651,25.52,258,1991-09-15,5400,Early,Medium,Low,Average
1991,Chardonnay,White,Kozana,Loam,114,5,34,17.5,5.0,17.5,-0.1,8,3,1372,1166,192,292,341,341,223,106,67.5,2181,41.5,2.67,259,7200.0,36.5,3.597,25.36,260,1991-09-17,5470,Normal,Medium,Low,Average
1991,Chardonnay,White,Medana,Marl-Loam,135,19,34,17.5,5.0,17.5,-0.1,8,3,1372,1166,192,292,341,341,223,106,67.5,2186,41.5,2.67,259,7200.0,37.1,3.614,25.51,260,1991-09-17,6690,Normal,High,Low,Average
1991,Chardonnay,White,Vipolže,Clay,97,6,34,17.5,5.0,17.5,-0.1,8,3,1372,1166,192,292,341,341,223,106,67.5,2156,41.5,2.67,259,7200.0,40.3,3.696,28.02,263,1991-09-20,5560,Normal,Medium,Low,Average
1991,Chardonnay,White,Šmartno,Marl,155,16,34,17.5,5.0,17.5,-0.1,8,3,1372,1166,192,292,341,341,223,106,67.5,2191,41.5,2.67,259,7200.0,37.9,3.635,28.12,264,1991-09-21,5040,Normal,Medium,Low,Average
1991,Chardonnay,White,Biljana,Sandy-Loam,121,24,34,17.5,,17.5,-0.1,8,3,1372,1166,192,292,341,341,223,106,67.5,2176,41.5,2.67,259,7200.0,34.0,3.526,27.43,257,1991-09-14,4950,Early,Medium,Low,Average
1991,Chardonnay,White,Neblo,Clay-Loam,109,34,34,17.5,5.0,17.5,-0.1,8,3,1372,1166,192,292,341,341,223,106,,2171,41.5,2.67,259,7200.0,34.7,3.547,22.54,261,1991-09-18,4880,Normal,Medium,Low,Average
1991,Chardonnay,White,Cerovo,Marl-Loam,143,12,34,17.5,5.0,17.5,-0.1,8,3,1372,1166,192,292,341,341,223,106,67.5,2184,41.5,2.67,259,7200.0,38.4,3.648,24.91,261,1991-09-18,5860,Normal,High,Low,Average
1991,Pinot Grigio,White,Dobrovo,Clay-Loam,88,19,34,17.5,5.0,17.5,-0.1,8,3,1372,1166,192,292,341,341,223,106,67.5,2166,41.5,2.67,256,7700.0,37.2,3.616,28.91,250,1991-09-07,5930,Early,High,Low,Average
1991,Pinot Grigio,White,Kozana,Loam,114,21,34,17.5,5.0,17.5,-0.1,8,3,1372,1166,192,292,341,341,223,106,67.5,2181,41.5,2.67,256,7700.0,36.8,3.605,26.57,260,1991-09-17,6110,Normal,High,Low,Average
1991,Pinot Grigio,White,Medana,Marl-Loam,135,10,34,17.5,5.0,17.5,-0.1,8,3,1372,1166,192,292,341,341,223,106,67.5,2186,41.5,2.67,256,7700.0,40.7,3.706,26.97,259,1991-09-16,6050,Normal,High,Low,Average
1991,Pinot Grigio,White,Vipolže,Clay,97,20,34,17.5,5.0,17.5,-0.1,8,3,1372,1166,192,292,341,341,223,106,67.5,2156,41.5,2.67,256,7700.0,37.4,3.622,26.74,255,1991-09-12,5830,Early,High,Low,Average
1991,Pinot Grigio,White,Šmartno,Marl,155,15,34,17.5,5.0,17.5,-0.1,8,3,1372,1166,192,292,341,341,223,106,67.5,2191,41.5,2.67,256,7700.0,41.7,3.731,24.96,257,1991-09-14,5880,Early,High,Low,Good
1991,Pinot Grigio,White,Biljana,Sandy-Loam,121,11,34,17.5,5.0,17.5,-0.1,8,3,1372,1166,192,292,341,341,223,106,67.5,2176,41.5,2.67,256,7700.0,40.2,3.694,26.41,253,1991-09-10,6390,Early,High,Low,Average
1991,Pinot Grigio,White,Neblo,Clay-Loam,109,36,34,17.5,5.0,17.5,-0.1,8,3,1372,1166,192,292,341,341,223,106,67.5,2171,41.5,2.67,256,7700.0,37.0,3.611,23.58,255,1991-09-12,5970,Early,High,Low,Average
1991,Pinot Grigio,White,Cerovo,Marl-Loam,143,34,34,17.5,5.0,17.5,-0.1,8,3,1372,1166,192,292,341,341,223,106,67.5,2184,41.5,2.67,256,7700.0,39.6,3.679,26.69,257,1991-09-14,5920,Early,High,Low,Average
